                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4076,                 3.5467,                 2.7074,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.070492,              0.0032787,              0.0032787
                      2,                 2.3745,                 2.9172,                 2.7068,                0.00013,                0.01829,                  6e-05,                  2e-05,                    nan,                    nan,                    nan,               0.040426,              0.0065466,              0.0065466
                      3,                 2.2153,                 2.6303,                 2.5137,                0.00169,                 0.0122,                0.00096,                0.00025,                 3.2999,                 17.277,                 16.563,               0.010295,              0.0097484,              0.0097484
                      4,                 2.1196,                 2.3834,                 2.3283,                0.16923,                0.14329,                0.09971,                0.03083,                 2.3473,                 3.1394,                 3.3499,               0.009703,               0.009703,               0.009703
                      5,                 2.0109,                   2.21,                  2.222,                 0.1963,                0.25915,                0.18498,                0.06708,                 2.2161,                 3.4492,                  3.121,               0.009604,               0.009604,               0.009604
                      6,                 1.8672,                 1.9596,                 2.1111,                0.28363,                0.37902,                0.28897,                 0.1247,                 2.0919,                 2.2172,                 2.8564,               0.009505,               0.009505,               0.009505
                      7,                 1.7952,                 1.8897,                 2.0425,                0.39488,                0.47866,                0.42252,                0.17968,                 1.9177,                 2.2366,                 2.7202,               0.009406,               0.009406,               0.009406
                      8,                 1.7034,                 1.7214,                 1.9708,                0.38381,                0.53659,                0.43314,                  0.197,                 1.9635,                 2.0667,                 2.5678,               0.009307,               0.009307,               0.009307
                      9,                 1.6836,                  1.692,                 1.9334,                0.37978,                0.42988,                0.34624,                0.15681,                 2.2276,                 2.1909,                 3.0775,               0.009208,               0.009208,               0.009208
                     10,                 1.5888,                 1.5382,                 1.8353,                0.59143,                 0.4939,                0.50619,                0.21796,                  2.035,                 2.1793,                  2.627,               0.009109,               0.009109,               0.009109
                     11,                  1.612,                 1.5045,                 1.8536,                0.48695,                 0.5122,                0.42845,                0.20334,                 1.8757,                 1.9362,                  2.475,                0.00901,                0.00901,                0.00901
                     12,                 1.5234,                 1.4473,                 1.8026,                0.18056,                0.71646,                0.15985,                0.07426,                 1.9118,                 5.5086,                 2.5501,               0.008911,               0.008911,               0.008911
                     13,                 1.4782,                 1.3656,                   1.76,                0.63339,                 0.6372,                0.67299,                0.39943,                 1.5746,                 1.6423,                 2.1305,               0.008812,               0.008812,               0.008812
                     14,                 1.4827,                 1.3515,                 1.7623,                0.44907,                0.44235,                0.44165,                0.18977,                  2.023,                 2.4872,                 2.5987,               0.008713,               0.008713,               0.008713
